StructName	effect_size	hemisphere	parc
S_circular_insula_sup	-0.061913078	rh	aparc.a2009s
G_postcentral	-0.071993065	lh	aparc.a2009s
G_temporal_inf	-0.068304573	rh	aparc.a2009s
G&S_cingul-Mid-Post	-0.066239246	rh	aparc.a2009s
G&S_subcentral	-0.058658646	rh	aparc.a2009s
G_postcentral	-0.054133305	rh	aparc.a2009s
G_front_sup	-0.046848501	rh	aparc.a2009s
G_parietal_sup	-0.054060877	rh	aparc.a2009s
S_circular_insula_sup	-0.054299362	lh	aparc.a2009s
G&S_cingul-Ant	-0.057131072	rh	aparc.a2009s
S_oc-temp_lat	-0.070710494	rh	aparc.a2009s
G_front_inf-Opercular	-0.043060379	lh	aparc.a2009s
S_temporal_inf	-0.059876206	rh	aparc.a2009s
S_central	-0.059791101	lh	aparc.a2009s
Lat_Fis-post	-0.043167401	rh	aparc.a2009s
G_rectus	-0.054647788	lh	aparc.a2009s
G_insular_short	-0.043484779	lh	aparc.a2009s
G_pariet_inf-Angular	-0.057954518	lh	aparc.a2009s
G_front_sup	-0.041660667	lh	aparc.a2009s
G_precuneus	-0.045069392	rh	aparc.a2009s
S_oc-temp_med&Lingual	-0.056805656	rh	aparc.a2009s
G_precentral	-0.036567304	lh	aparc.a2009s
S_oc-temp_med&Lingual	-0.046732467	lh	aparc.a2009s
G_temporal_middle	-0.051031949	lh	aparc.a2009s
G_precentral	-0.033125029	rh	aparc.a2009s
G_pariet_inf-Supramar	-0.049351814	rh	aparc.a2009s
S_cingul-Marginalis	-0.041492827	lh	aparc.a2009s
G_front_inf-Triangul	-0.035784456	lh	aparc.a2009s
S_oc_sup&transversal	-0.047224788	rh	aparc.a2009s
G&S_subcentral	-0.042596372	lh	aparc.a2009s
G_precuneus	-0.036484956	lh	aparc.a2009s
G_cingul-Post-dorsal	-0.033380241	lh	aparc.a2009s
G_front_inf-Triangul	-0.040094434	rh	aparc.a2009s
G_front_inf-Opercular	-0.04844061	rh	aparc.a2009s
G_rectus	-0.049518646	rh	aparc.a2009s
S_orbital_med-olfact	-0.04029579	lh	aparc.a2009s
G&S_cingul-Ant	-0.031788997	lh	aparc.a2009s
S_temporal_sup	-0.059021862	lh	aparc.a2009s
S_postcentral	-0.044268501	rh	aparc.a2009s
S_subparietal	-0.041192219	rh	aparc.a2009s
G_parietal_sup	-0.042161314	lh	aparc.a2009s
S_front_sup	-0.043157161	rh	aparc.a2009s
S_front_inf	-0.041358781	lh	aparc.a2009s
S_postcentral	-0.056705494	lh	aparc.a2009s
S_intrapariet&P_trans	-0.045780354	lh	aparc.a2009s
G_orbital	-0.037899931	lh	aparc.a2009s
G_oc-temp_lat-fusifor	-0.057534046	rh	aparc.a2009s
G_occipital_middle	-0.046832382	rh	aparc.a2009s
G_temp_sup-Plan_tempo	-0.047323259	rh	aparc.a2009s
G_temp_sup-Plan_polar	-0.04307513	rh	aparc.a2009s
Lat_Fis-post	-0.037917977	lh	aparc.a2009s
S_pericallosal	-0.037542248	rh	aparc.a2009s
G_temp_sup-Lateral	-0.044543984	rh	aparc.a2009s
G&S_cingul-Mid-Ant	-0.039506182	lh	aparc.a2009s
G_temporal_middle	-0.048643243	rh	aparc.a2009s
S_central	-0.032886581	rh	aparc.a2009s
S_circular_insula_inf	-0.036124805	lh	aparc.a2009s
G_oc-temp_lat-fusifor	-0.056342291	lh	aparc.a2009s
G&S_cingul-Mid-Ant	-0.047518426	rh	aparc.a2009s
G_front_middle	-0.045969036	rh	aparc.a2009s
G_subcallosal	-0.045132015	rh	aparc.a2009s
G_cingul-Post-dorsal	-0.037562501	rh	aparc.a2009s
G_front_inf-Orbital	-0.02775991	lh	aparc.a2009s
G_occipital_middle	-0.054841169	lh	aparc.a2009s
G_front_middle	-0.035517223	lh	aparc.a2009s
G_temp_sup-G_T_transv	-0.032510316	rh	aparc.a2009s
G_temp_sup-Lateral	-0.040539857	lh	aparc.a2009s
G_pariet_inf-Supramar	-0.041211729	lh	aparc.a2009s
S_orbital_med-olfact	-0.04851873	rh	aparc.a2009s
S_precentral-inf-part	-0.026940186	lh	aparc.a2009s
S_pericallosal	-0.028946342	lh	aparc.a2009s
S_temporal_transverse	-0.041560277	rh	aparc.a2009s
G_temp_sup-G_T_transv	-0.027058248	lh	aparc.a2009s
G&S_transv_frontopol	-0.037971997	rh	aparc.a2009s
S_temporal_inf	-0.050389451	lh	aparc.a2009s
Pole_temporal	-0.028996248	lh	aparc.a2009s
G_occipital_sup	-0.030765208	rh	aparc.a2009s
S_subparietal	-0.025084899	lh	aparc.a2009s
S_suborbital	-0.040196693	rh	aparc.a2009s
Lat_Fis-ant-Horizont	-0.035618054	rh	aparc.a2009s
G_insular_short	-0.023553464	rh	aparc.a2009s
S_collat_transv_ant	-0.033884699	rh	aparc.a2009s
S_front_inf	-0.037175311	rh	aparc.a2009s
S_circular_insula_ant	-0.031667951	rh	aparc.a2009s
S_precentral-sup-part	-0.025562833	lh	aparc.a2009s
Lat_Fis-ant-Vertical	-0.032746408	rh	aparc.a2009s
Lat_Fis-ant-Vertical	-0.032469007	lh	aparc.a2009s
S_intrapariet&P_trans	-0.0398608	rh	aparc.a2009s
G&S_cingul-Mid-Post	-0.025517953	lh	aparc.a2009s
S_circular_insula_ant	-0.024262187	lh	aparc.a2009s
Pole_occipital	-0.035463678	lh	aparc.a2009s
G_Ins_lg&S_cent_ins	-0.027303294	lh	aparc.a2009s
G_temporal_inf	-0.03983944	lh	aparc.a2009s
Pole_temporal	-0.03689185	rh	aparc.a2009s
G_Ins_lg&S_cent_ins	-0.025318345	rh	aparc.a2009s
S_orbital_lateral	-0.019134809	lh	aparc.a2009s
S_precentral-inf-part	-0.027400717	rh	aparc.a2009s
S_suborbital	-0.031101915	lh	aparc.a2009s
G_pariet_inf-Angular	-0.038388939	rh	aparc.a2009s
S_interm_prim-Jensen	-0.038266074	rh	aparc.a2009s
G_orbital	-0.02821437	rh	aparc.a2009s
G&S_occipital_inf	-0.036228422	lh	aparc.a2009s
S_front_sup	-0.018004488	lh	aparc.a2009s
G_subcallosal	-0.043942153	lh	aparc.a2009s
S_precentral-sup-part	-0.012959592	rh	aparc.a2009s
S_oc-temp_lat	-0.048041153	lh	aparc.a2009s
S_temporal_sup	-0.04172313	rh	aparc.a2009s
S_temporal_transverse	-0.027219215	lh	aparc.a2009s
G_front_inf-Orbital	-0.016986516	rh	aparc.a2009s
S_cingul-Marginalis	-0.017727382	rh	aparc.a2009s
S_orbital-H_Shaped	-0.025836776	lh	aparc.a2009s
S_parieto_occipital	-0.033666992	rh	aparc.a2009s
G_temp_sup-Plan_tempo	-0.026047905	lh	aparc.a2009s
S_parieto_occipital	-0.036032617	lh	aparc.a2009s
S_oc_sup&transversal	-0.041907027	lh	aparc.a2009s
G_occipital_sup	-0.034356642	lh	aparc.a2009s
S_calcarine	-0.038497183	lh	aparc.a2009s
S_circular_insula_inf	-0.024172307	rh	aparc.a2009s
Lat_Fis-ant-Horizont	-0.019950982	lh	aparc.a2009s
G&S_paracentral	-0.004235271	rh	aparc.a2009s
S_oc_middle&Lunatus	-0.034545089	lh	aparc.a2009s
G_cuneus	-0.035235356	rh	aparc.a2009s
S_oc_middle&Lunatus	-0.033324392	rh	aparc.a2009s
S_collat_transv_post	-0.027120957	lh	aparc.a2009s
G_temp_sup-Plan_polar	-0.017313389	lh	aparc.a2009s
S_front_middle	-0.029672853	rh	aparc.a2009s
G&S_paracentral	-0.00482707	lh	aparc.a2009s
G&S_occipital_inf	-0.030624811	rh	aparc.a2009s
G_oc-temp_med-Parahip	-0.024857688	rh	aparc.a2009s
S_occipital_ant	-0.021587443	rh	aparc.a2009s
S_orbital_lateral	-0.019374506	rh	aparc.a2009s
S_calcarine	-0.032954073	rh	aparc.a2009s
S_orbital-H_Shaped	-0.021029185	rh	aparc.a2009s
S_collat_transv_ant	-0.019804439	lh	aparc.a2009s
G&S_transv_frontopol	-0.022308566	lh	aparc.a2009s
G_oc-temp_med-Lingual	-0.031145423	lh	aparc.a2009s
S_front_middle	-0.006793361	lh	aparc.a2009s
G_cingul-Post-ventral	-0.008383877	rh	aparc.a2009s
G_cingul-Post-ventral	-0.006616659	lh	aparc.a2009s
S_occipital_ant	-0.016819501	lh	aparc.a2009s
S_interm_prim-Jensen	-0.004448913	lh	aparc.a2009s
